frame_index,timestamp,R,G,B,average_SpO2
0, 11:23:45,66.386798,190.325166,904.672585,97.5
1, 11:23:45,66.436277,190.687145,904.577415,97.5
2, 11:23:45,66.455177,190.910038,904.105114,97.5
3, 11:23:45,66.570431,191.341501,906.620028,97.5
4, 11:23:45,66.655461,191.559659,909.099432,97.5
5, 11:23:45,66.650608,191.941406,910.100142,97.5
6, 11:23:45,66.737019,192.274503,911.371449,97.5
7, 11:23:45,66.790956,192.650331,910.87358,97.5
8, 11:23:45,66.877801,193.016454,914.002131,97.5
9, 11:23:45,66.927083,193.420455,913.8125,97.5
10, 11:23:45,66.974353,193.812737,914.620739,97.5
11, 11:23:45,66.944563,193.772609,914.757812,97.5
12, 11:23:45,66.638021,192.582623,909.859375,97.5
13, 11:23:45,66.281605,190.798887,903.918324,97.5
14, 11:23:45,66.130524,189.764678,901.471591,97.5
15, 11:23:45,66.104798,189.274148,901.380682,97.5
16, 11:23:45,66.086174,189.122633,901.048295,97.5
17, 11:23:45,66.141256,189.203125,902.017045,97.5
18, 11:23:45,66.142006,189.272609,902.158381,97.5
19, 11:23:45,66.246212,189.607481,903.545455,97.5
20, 11:23:45,66.267479,189.866832,903.868608,97.5
21, 11:23:45,66.248856,189.776397,903.641335,97.5
22, 11:23:45,66.253512,189.847183,903.352983,97.5
23, 11:23:45,66.265862,189.903172,903.93608,97.5
24, 11:23:45,66.334912,190.153409,904.482955,97.5
25, 11:23:45,66.412169,190.475142,906.109375,97.5
26, 11:23:45,66.47818,190.809067,906.647017,97.5
27, 11:23:45,66.5756,191.219697,908.8125,97.5
28, 11:23:45,66.62571,191.517756,908.68608,97.5
29, 11:23:45,66.707663,191.971946,910.345881,97.5
30, 11:23:46,66.769295,192.332505,911.037642,97.5
31, 11:23:46,66.513021,191.708097,904.802557,97.5
32, 11:23:46,66.611387,191.98473,905.891335,97.5
33, 11:23:46,66.644334,192.182528,906.660511,97.5
34, 11:23:46,66.761087,192.726444,908.006392,97.5
35, 11:23:46,66.828007,193.066406,909.202415,97.5
36, 11:23:46,66.857126,193.445904,908.899858,97.5
37, 11:23:46,66.917535,193.847775,910.700284,97.5
38, 11:23:46,67.021465,194.387311,912.943182,97.5
39, 11:23:46,67.102431,194.821496,914.639205,97.5
40, 11:23:46,67.134549,195.145597,914.518466,97.5
41, 11:23:46,67.232126,195.751302,915.982244,97.5
42, 11:23:46,67.265388,196.067945,916.791193,97.5
43, 11:23:46,67.21729,195.915601,915.959517,97.5
44, 11:23:46,66.795889,194.177438,909.462358,97.5
45, 11:23:46,66.362176,191.845526,903.698153,97.5
46, 11:23:46,66.160748,190.345881,899.578125,97.5
47, 11:23:46,66.102943,189.6933,898.492188,97.5
48, 11:23:46,66.095368,189.40116,898.301847,97.5
49, 11:23:46,66.053622,189.070904,897.87429,97.5
50, 11:23:46,65.971946,188.654948,895.912642,97.5
51, 11:23:46,66.009549,188.692945,896.97017,97.5
52, 11:23:46,66.030855,188.799006,897.27983,97.5
53, 11:23:46,66.078717,188.952533,897.996449,97.5
54, 11:23:46,66.057686,188.944839,897.81392,97.5
55, 11:23:46,66.055753,188.968868,898.043324,97.5
56, 11:23:46,66.079743,189.029001,897.881392,97.5
57, 11:23:46,66.123106,189.189867,898.727273,97.5
58, 11:23:46,66.225773,189.684896,899.757102,97.5
59, 11:23:46,66.267519,189.914773,900.275568,97.5
60, 11:23:47,66.34955,190.227154,901.612926,97.5
61, 11:23:47,66.39607,190.570786,902.75142,97.5
62, 11:23:47,66.454664,190.990412,902.948153,97.5
63, 11:23:47,66.551136,191.27036,904.488636,97.5
64, 11:23:47,66.585464,191.545691,904.853693,97.5
65, 11:23:47,66.700284,191.9375,905.997159,97.5
66, 11:23:47,66.777186,192.401634,907.310369,97.5
67, 11:23:47,66.837437,192.735322,908.318182,97.5
68, 11:23:47,66.891769,193.002959,909.037642,97.5
69, 11:23:47,66.702888,192.452888,906.697443,97.5
70, 11:23:47,66.308199,190.669863,901.098722,97.5
71, 11:23:47,66.032749,189.169744,896.671875,97.5
72, 11:23:47,65.960109,188.457978,895.014915,97.5
73, 11:23:47,65.940104,188.1366,895.271307,97.5
74, 11:23:47,65.958176,188.117898,895.622159,97.5
75, 11:23:47,65.938131,188.030303,895.377841,97.5
76, 11:23:47,66.002012,188.233783,896.144176,97.5
77, 11:23:47,66.066604,188.482955,896.534091,97.5
78, 11:23:47,66.059501,188.588542,896.139205,97.5
79, 11:23:47,66.088621,188.784801,897.205966,97.5
80, 11:23:47,66.090159,188.776634,897.060369,97.5
81, 11:23:47,66.135417,188.95786,898.210227,97.5
82, 11:23:47,66.19764,189.236387,899.040483,97.5
83, 11:23:47,66.28922,189.626657,900.43892,97.5
84, 11:23:47,66.396149,190.059186,902.008523,97.5
85, 11:23:47,66.431818,190.313447,902.167614,97.5
86, 11:23:47,66.556424,190.893703,904.041193,97.5
87, 11:23:47,66.601997,191.184777,904.691051,97.5
88, 11:23:47,66.729916,191.724787,905.757812,97.5
89, 11:23:47,66.743845,191.913352,906.875,97.5
90, 11:23:48,66.854956,192.356534,907.8125,97.5
91, 11:23:48,66.92732,192.755445,909.208807,97.5
92, 11:23:48,66.983586,193.107955,910.576705,97.5
93, 11:23:48,67.039773,193.628314,911.440341,97.5
94, 11:23:48,67.136679,193.987689,911.627841,97.5
95, 11:23:48,67.250355,194.491596,914.28196,97.5
96, 11:23:48,67.317827,194.818063,915.058949,97.5
97, 11:23:48,67.404396,195.384588,916.895597,97.5
98, 11:23:48,67.44259,195.721236,916.705256,97.5
99, 11:23:48,67.484888,196.142637,917.665483,97.5
100, 11:23:48,67.61628,196.78776,919.411222,97.5
101, 11:23:48,67.617148,197.010062,920.401278,97.5
102, 11:23:48,67.473919,196.689276,918.047585,97.5
103, 11:23:48,67.072364,194.73982,911.294034,97.5
104, 11:23:48,66.806226,193.164891,906.710938,97.5
105, 11:23:48,66.724037,192.412642,906.112216,97.5
106, 11:23:48,66.74637,192.249053,906.823864,97.5
107, 11:23:48,66.764994,192.152462,906.1875,97.5
108, 11:23:48,66.749684,192.043561,906.644886,97.5
109, 11:23:48,66.783183,192.140743,906.645597,97.5
110, 11:23:48,66.861742,192.310606,906.625,97.5
111, 11:23:48,66.890112,192.436435,908.325994,97.5
112, 11:23:48,66.849274,192.410511,907.392045,97.5
113, 11:23:48,66.850497,192.415601,907.263494,97.5
114, 11:23:48,66.852391,192.514086,908.40554,97.5
115, 11:23:48,66.922625,192.711529,908.700994,97.5
116, 11:23:48,66.976326,192.958807,909.482955,97.5
117, 11:23:48,67.036971,193.355705,910.486506,97.5
118, 11:23:48,67.126736,193.708333,911.53125,97.5
119, 11:23:48,67.121094,193.971236,911.958097,97.5
120, 11:23:49,67.261166,194.444957,913.928267,97.5
121, 11:23:49,67.265388,194.690104,914.242898,97.5
122, 11:23:49,67.359217,195.116004,915.383523,97.5
123, 11:23:49,67.390507,195.404001,916.142756,97.5
124, 11:23:49,67.395202,195.732955,916.068182,97.5
125, 11:23:49,67.386995,195.736269,916.301136,97.5
126, 11:23:49,67.135417,194.633523,911.463068,97.5
