frame_index,timestamp,R,G,B,average_SpO2
0, 09:25:02,40.051926,267.302083,890.713068,97.6
1, 09:25:02,39.958925,267.664654,890.459517,97.6
2, 09:25:02,40.0189,267.695431,891.62429,97.6
3, 09:25:02,40.061119,267.820194,891.506392,97.6
4, 09:25:02,40.099077,267.949219,892.166903,97.6
5, 09:25:02,40.107955,267.871686,891.5625,97.6
6, 09:25:02,40.087555,267.96295,891.081676,97.6
7, 09:25:02,40.113281,268.09884,892.161222,97.6
8, 09:25:02,40.152817,268.086766,893.029119,97.6
9, 09:25:02,40.149937,268.251894,893.048295,97.6
10, 09:25:02,40.149897,268.399029,893.195312,97.6
11, 09:25:02,40.170928,268.499527,893.681818,97.6
12, 09:25:02,40.189433,268.581558,894.384233,97.6
13, 09:25:02,40.200363,268.691525,894.22017,97.6
14, 09:25:02,40.20423,268.77983,894.360795,97.6
15, 09:25:02,40.193142,268.883878,894.056108,97.6
16, 09:25:02,40.22455,269.051018,894.808949,97.6
17, 09:25:02,40.214725,269.130445,895.015625,97.6
18, 09:25:02,40.209833,269.264441,895.228693,97.6
19, 09:25:02,40.121804,269.193063,894.81179,97.6
20, 09:25:02,39.855903,268.491004,890.329545,97.6
21, 09:25:02,39.766138,268.025213,888.691051,97.6
22, 09:25:02,39.814828,267.960582,889.922585,97.6
23, 09:25:02,39.867898,267.921402,890.119318,97.6
24, 09:25:02,39.904869,267.82919,890.59446,97.6
25, 09:25:02,39.924558,267.695076,889.755682,97.6
26, 09:25:02,39.917693,267.474669,889.370739,97.6
27, 09:25:02,39.968395,267.428385,889.178267,97.6
28, 09:25:02,39.988518,267.388849,889.517756,97.6
29, 09:25:02,39.998185,267.326468,889.711648,97.6
30, 09:25:03,40.007418,267.191761,889.534091,97.65
31, 09:25:03,39.840988,265.93821,881.691761,97.65
32, 09:25:03,39.858546,265.935488,882.189631,97.65
33, 09:25:03,39.881905,265.960109,882.047585,97.65
34, 09:25:03,39.894452,265.968395,882.546165,97.65
35, 09:25:03,39.921717,266.125,883.264205,97.65
36, 09:25:03,39.922901,266.124763,882.919034,97.65
37, 09:25:03,39.927478,266.187263,882.899148,97.65
38, 09:25:03,39.921204,266.221473,882.919744,97.65
39, 09:25:03,39.929411,266.257457,882.823153,97.65
40, 09:25:03,39.942669,266.379143,883.595881,97.65
41, 09:25:03,39.932252,266.405185,883.289062,97.65
42, 09:25:03,39.954822,266.504143,883.879972,97.65
43, 09:25:03,39.949613,266.582268,884.095881,97.65
44, 09:25:03,39.964252,266.720881,884.27983,97.65
45, 09:25:03,39.960859,266.840436,884.673295,97.65
46, 09:25:03,39.983191,266.93679,885.00142,97.65
47, 09:25:03,39.98473,267.038471,884.983665,97.65
48, 09:25:03,39.975852,267.129261,885.519886,97.65
49, 09:25:03,39.944721,267.231889,884.908381,97.65
50, 09:25:03,39.742385,266.830374,882.888494,97.65
51, 09:25:03,39.573311,266.203835,880.288352,97.65
52, 09:25:03,39.603693,266.05303,880.147727,97.65
53, 09:25:03,39.65992,265.964134,880.421165,97.65
54, 09:25:03,39.693063,265.854285,880.324574,97.65
55, 09:25:03,39.70206,265.705137,879.901278,97.65
56, 09:25:03,39.707426,265.5683,879.867188,97.65
57, 09:25:03,39.74858,265.481534,879.977273,97.65
58, 09:25:03,39.797506,265.481061,880.21875,97.65
59, 09:25:03,39.815696,265.418679,880.046165,97.65
60, 09:25:04,39.816801,265.29794,880.060369,97.6
61, 09:25:04,39.834912,265.232008,879.860795,97.6
62, 09:25:04,39.840593,265.187027,879.414773,97.6
63, 09:25:04,39.87425,265.222183,879.736506,97.6
64, 09:25:04,39.910472,265.287287,880.476562,97.6
65, 09:25:04,39.900174,265.306581,880.262784,97.6
66, 09:25:04,39.927991,265.367306,881.019176,97.6
67, 09:25:04,39.947996,265.443892,880.916193,97.6
68, 09:25:04,39.959557,265.51598,881.53054,97.6
69, 09:25:04,39.949653,265.59233,881.215909,97.6
70, 09:25:04,39.968237,265.694484,882.308949,97.6
71, 09:25:04,39.968316,265.769531,881.932528,97.6
72, 09:25:04,39.966659,265.889086,882.354403,97.6
73, 09:25:04,39.970881,265.972775,882.25142,97.6
74, 09:25:04,39.977667,266.077888,882.72017,97.6
75, 09:25:04,39.981061,266.167614,882.835227,97.6
76, 09:25:04,39.981416,266.264796,883.287642,97.6
77, 09:25:04,39.976168,266.416667,882.747159,97.6
78, 09:25:04,39.987887,266.522372,883.682528,97.6
79, 09:25:04,39.89461,266.463187,882.517756,97.6
80, 09:25:04,39.691998,265.979877,880.93892,97.6
81, 09:25:04,39.610795,265.597064,878.389205,97.6
82, 09:25:04,39.64461,265.548887,879.006392,97.6
83, 09:25:04,39.726523,265.582031,879.435369,97.6
84, 09:25:04,39.74783,265.468868,880.159801,97.6
85, 09:25:04,39.762587,265.457268,879.877131,97.6
86, 09:25:04,39.766888,265.40767,879.491477,97.6
87, 09:25:04,39.796599,265.36849,879.631392,97.6
88, 09:25:04,39.809817,265.364583,880.303977,97.6
89, 09:25:04,39.807884,265.273556,879.28054,97.6
90, 09:25:05,39.802438,265.261482,879.955256,97.625
91, 09:25:05,39.834517,265.290483,879.18608,97.625
92, 09:25:05,39.835148,265.300426,880.208807,97.625
93, 09:25:05,39.872159,265.385417,879.375,97.625
94, 09:25:05,39.877328,265.429806,880.425426,97.625
95, 09:25:05,39.887666,265.507221,880.208097,97.625
96, 09:25:05,39.899306,265.578125,880.923295,97.625
97, 09:25:05,39.902068,265.664062,880.785511,97.625
98, 09:25:05,39.903764,265.736387,881.412642,97.625
99, 09:25:05,39.905145,265.839489,881.377841,97.625
100, 09:25:05,39.910511,265.920928,881.809659,97.625
101, 09:25:05,39.915049,265.972893,881.794744,97.625
102, 09:25:05,39.925742,266.15696,882.43608,97.625
103, 09:25:05,39.923295,266.227746,882.068182,97.625
104, 09:25:05,39.932173,266.411103,883.193892,97.625
105, 09:25:05,39.957071,266.544508,882.704545,97.625
106, 09:25:05,39.953086,266.595526,884.036222,97.625
107, 09:25:05,39.936948,266.684422,883.455966,97.625
108, 09:25:05,39.910472,266.765507,883.754972,97.625
109, 09:25:05,39.740649,266.453954,881.189631,97.625
110, 09:25:05,39.615412,266.054096,880.154119,97.625
111, 09:25:05,39.625,265.949337,879.707386,97.625
112, 09:25:05,39.677241,265.995739,880.221591,97.625
113, 09:25:05,39.70715,266.036695,880.947443,97.625
114, 09:25:05,39.727904,266.011364,881.125,97.625
115, 09:25:05,39.743134,266.0116,881.316761,97.625
116, 09:25:05,39.757339,266.078835,881.620739,97.625
117, 09:25:05,39.761245,266.066406,880.929688,97.625
118, 09:25:05,39.740451,266.041903,880.955966,97.625
119, 09:25:05,39.72601,265.957386,880.690341,97.625
120, 09:25:06,39.743134,265.991714,881.143466,97.625
121, 09:25:06,39.74349,266.032552,880.709517,97.625
122, 09:25:06,39.77107,266.161222,881.444602,97.625
123, 09:25:06,39.791943,266.197798,881.885653,97.625
124, 09:25:06,39.786182,266.341974,882.28196,97.625
125, 09:25:06,39.791864,266.440459,881.838778,97.625
126, 09:25:06,39.800742,266.523438,882.473011,97.625
127, 09:25:06,39.796993,266.622041,882.658381,97.625
128, 09:25:06,39.822009,266.710819,882.776278,97.625
129, 09:25:06,39.820155,266.776752,882.680398,97.625
130, 09:25:06,39.820904,266.887902,883.59446,97.625
131, 09:25:06,39.817156,267.01018,883.129261,97.625
132, 09:25:06,39.827849,267.15116,883.841619,97.625
133, 09:25:06,39.835661,267.271662,884.385653,97.625
134, 09:25:06,39.834399,267.416075,884.993608,97.625
135, 09:25:06,39.826507,267.524503,884.752131,97.625
136, 09:25:06,39.788194,267.527936,885.230114,97.625
137, 09:25:06,39.592803,267.078598,881.747159,97.625
138, 09:25:06,39.486229,266.787287,881.189631,97.625
