frame_index,timestamp,R,G,B,average_SpO2
0, 14:07:56,64.617306,179.929096,940.392756,96.45
1, 14:07:56,64.721907,180.509943,943.826705,96.45
2, 14:07:56,64.918245,181.120739,946.40625,96.45
3, 14:07:56,65.106574,181.704664,948.980824,96.45
4, 14:07:56,65.218277,182.3125,949.741477,96.45
5, 14:07:56,65.287129,182.924361,951.040483,96.45
6, 14:07:56,65.394295,183.528527,954.40696,96.45
7, 14:07:56,65.515309,184.201231,954.735795,96.45
8, 14:07:56,65.607915,184.885298,957.087358,96.45
9, 14:07:56,65.71946,185.539536,959.973011,96.45
10, 14:07:56,65.836411,186.296165,961.31392,96.45
11, 14:07:56,65.932923,186.947443,963.227273,96.45
12, 14:07:56,66.018308,187.660038,965.667614,96.45
13, 14:07:56,66.121883,188.331084,967.358665,96.45
14, 14:07:56,66.247514,189.14169,970.443892,96.45
15, 14:07:56,66.252999,189.716856,970.951705,96.45
16, 14:07:56,66.339844,190.444721,973.122869,96.45
17, 14:07:56,66.495699,191.263139,977.041903,96.45
18, 14:07:56,66.541588,191.873816,978.163352,96.45
19, 14:07:56,66.638218,192.485204,980.888494,96.45
20, 14:07:56,66.194563,190.839844,973.15554,96.45
21, 14:07:56,65.508444,187.236506,961.205966,96.45
22, 14:07:56,65.18971,184.594223,953.534091,96.45
23, 14:07:56,65.115491,183.766927,951.340199,96.45
24, 14:07:56,64.9884,182.925426,949.401989,96.45
25, 14:07:56,64.772412,181.793561,945.534091,96.45
26, 14:07:56,64.660156,180.890033,943.385653,96.45
27, 14:07:56,64.697917,180.994792,944.502841,96.45
28, 14:07:56,64.985598,182.238991,949.206676,96.45
29, 14:07:56,65.033262,182.590317,949.672585,96.45
30, 14:07:57,64.99708,182.56321,949.705966,96.45
31, 14:07:57,64.740609,181.808002,943.603693,96.45
32, 14:07:57,64.88009,182.312618,944.747869,96.45
33, 14:07:57,65.008878,182.958925,947.40696,96.45
34, 14:07:57,65.079901,183.41205,949.108665,96.45
35, 14:07:57,65.253512,184.280895,951.034801,96.45
36, 14:07:57,65.336529,184.840554,952.977983,96.45
37, 14:07:57,65.400489,185.333097,953.919034,96.45
38, 14:07:57,65.472301,185.873816,956.211648,96.45
39, 14:07:57,65.570273,186.357126,957.398438,96.45
40, 14:07:57,65.649069,186.921165,959.632102,96.45
41, 14:07:57,65.7006,187.506155,961.133523,96.45
42, 14:07:57,65.787247,188.246686,963.267045,96.45
43, 14:07:57,65.793758,188.773793,964.210938,96.45
44, 14:07:57,65.919468,189.460582,966.925426,96.45
45, 14:07:57,65.954861,189.975852,968.627841,96.45
46, 14:07:57,66.042574,190.488045,969.820312,96.45
47, 14:07:57,66.166154,191.084635,971.845881,96.45
48, 14:07:57,66.231574,191.554569,973.227983,96.45
49, 14:07:57,66.323666,192.095526,975.473722,96.45
50, 14:07:57,66.320234,192.392045,976.085227,96.45
51, 14:07:57,65.768229,190.176373,967.15483,96.45
52, 14:07:57,65.114426,186.393939,954.769886,96.45
53, 14:07:57,64.778015,183.824574,947.580966,96.45
54, 14:07:57,64.727628,182.757694,944.977983,96.45
55, 14:07:57,64.552241,181.721117,942.053977,96.45
56, 14:07:57,64.346473,180.406368,939.256392,96.45
57, 14:07:57,64.187105,179.474195,936.183239,96.45
58, 14:07:57,64.347459,179.89465,938.546875,96.45
59, 14:07:57,64.557962,180.787997,941.512074,96.45
60, 14:07:58,64.492937,180.739228,940.878551,96.45
61, 14:07:58,64.483704,180.610677,940.053267,96.45
62, 14:07:58,64.481258,180.641217,940.537642,96.45
63, 14:07:58,64.603614,181.100616,941.68608,96.45
64, 14:07:58,64.757181,181.754972,943.862216,96.45
65, 14:07:58,64.857205,182.29652,945.537642,96.45
66, 14:07:58,64.982363,182.821615,948.256392,96.45
67, 14:07:58,65.024779,183.273674,947.894886,96.45
68, 14:07:58,65.12354,183.775923,950.558949,96.45
69, 14:07:58,65.205492,184.204545,951.329545,96.45
70, 14:07:58,65.290009,184.729403,953.68892,96.45
71, 14:07:58,65.381432,185.167969,955.064631,96.45
72, 14:07:58,65.453914,185.624053,956.798295,96.45
73, 14:07:58,65.566682,186.434896,959.038352,96.45
74, 14:07:58,65.648872,187.055043,961.230824,96.45
75, 14:07:58,65.707071,187.56108,962.826705,96.45
76, 14:07:58,65.633286,187.625237,961.850852,96.45
77, 14:07:58,65.029514,184.776042,951.099432,96.45
78, 14:07:58,64.389205,181.053504,940.752841,96.45
79, 14:07:58,64.061829,178.877249,934.121449,96.45
80, 14:07:58,63.940223,177.886955,932.230824,96.45
81, 14:07:58,63.748264,176.673769,927.823864,96.45
82, 14:07:58,63.563802,175.400687,924.68821,96.45
83, 14:07:58,63.445707,174.648201,921.383523,96.45
84, 14:07:58,63.659288,175.383641,925.767756,96.45
85, 14:07:58,63.925505,176.672348,929.855114,96.45
86, 14:07:58,63.889875,176.818774,929.327415,96.45
87, 14:07:58,63.905421,176.88151,929.493608,96.45
88, 14:07:58,63.973564,177.213778,930.987216,96.45
89, 14:07:58,64.139954,177.952533,934.68679,96.45
90, 14:07:59,64.261482,178.601207,936.101562,96.725
91, 14:07:59,64.376776,179.406368,938.310369,96.725
92, 14:07:59,64.523911,180.086884,941.396307,96.725
93, 14:07:59,64.576665,180.659446,941.362926,96.725
94, 14:07:59,64.730863,181.297704,944.698153,96.725
95, 14:07:59,64.811474,181.812263,945.399148,96.725
96, 14:07:59,64.946259,182.512547,947.65767,96.725
97, 14:07:59,65.062027,183.147727,949.571023,96.725
98, 14:07:59,65.144295,183.752959,951.443892,96.725
99, 14:07:59,65.33361,184.580374,953.894176,96.725
100, 14:07:59,65.404317,185.118253,955.888494,96.725
101, 14:07:59,65.533026,185.90258,958.324574,96.725
102, 14:07:59,65.596117,186.546875,959.821023,96.725
103, 14:07:59,65.645912,187.258759,961.839489,96.725
104, 14:07:59,65.72968,187.983073,963.895597,96.725
105, 14:07:59,65.823193,188.862571,966.513494,96.725
106, 14:07:59,65.914812,189.520478,967.989347,96.725
107, 14:07:59,65.876223,189.603101,967.575994,96.725
108, 14:07:59,65.237374,186.918087,957.863636,96.725
109, 14:07:59,64.528054,182.616359,943.493608,96.725
110, 14:07:59,64.29072,180.431345,939.096591,96.725
111, 14:07:59,64.203796,179.779474,936.693892,96.725
112, 14:07:59,64.065183,178.700284,934.190341,96.725
113, 14:07:59,63.86336,177.647846,929.245028,96.725
114, 14:07:59,63.721512,176.693419,927.25142,96.725
115, 14:07:59,63.875039,177.181463,929.679688,96.725
116, 14:07:59,64.181976,178.632102,935.565341,96.725
117, 14:07:59,64.305753,179.495857,937.475142,96.725
118, 14:07:59,64.307213,179.593987,937.049716,96.725
119, 14:07:59,64.388336,179.952888,938.02983,96.725
120, 14:08:00,64.559935,180.791548,941.036222,96.725
121, 14:08:00,64.708965,181.58428,943.065341,96.725
122, 14:08:00,64.875237,182.523438,946.09233,96.725
123, 14:08:00,65.011245,183.296046,948.506392,96.725
124, 14:08:00,65.096591,184.09233,950.289773,96.725
125, 14:08:00,65.27545,184.91063,952.62571,96.725
126, 14:08:00,65.358586,185.650568,954.926136,96.725
127, 14:08:00,65.470368,186.613281,957.881392,96.725
128, 14:08:00,65.51164,187.282079,959.485085,96.725
129, 14:08:00,65.679096,188.261245,963.081676,96.725
130, 14:08:00,65.750355,189.115649,964.81321,96.725
131, 14:08:00,65.86991,189.904238,967.365767,96.725
132, 14:08:00,65.996252,190.754853,970.083097,96.725
