frame_index,timestamp,R,G,B,average_SpO2
0, 09:25:02,34.849392,260.498935,827.289062,97.6
1, 09:25:02,34.849235,260.625829,827.652699,97.6
2, 09:25:02,34.852233,260.602628,828.604403,97.6
3, 09:25:02,34.888297,260.507221,829.597301,97.6
4, 09:25:02,34.941367,260.450521,830.583807,97.6
5, 09:25:02,34.966383,260.442235,828.559659,97.6
6, 09:25:02,34.957229,260.358902,828.951705,97.6
7, 09:25:02,34.973524,260.383641,828.773438,97.6
8, 09:25:02,34.998185,260.433949,829.910511,97.6
9, 09:25:02,35.007378,260.587003,829.635653,97.6
10, 09:25:02,35.009115,260.62062,829.550426,97.6
11, 09:25:02,35.010496,260.753078,829.680398,97.6
12, 09:25:02,35.007102,260.82197,829.676136,97.6
13, 09:25:02,34.996449,260.861979,829.558239,97.6
14, 09:25:02,34.998698,260.997514,830.223722,97.6
15, 09:25:02,34.989504,261.090199,830.524148,97.6
16, 09:25:02,34.984848,261.198864,830.204545,97.6
17, 09:25:02,34.977943,261.271899,830.466619,97.6
18, 09:25:02,34.964765,261.405658,830.698153,97.6
19, 09:25:02,35.008878,261.61849,831.537642,97.6
20, 09:25:02,34.996133,261.838778,832.151989,97.6
21, 09:25:02,34.989347,261.994081,832.575284,97.6
22, 09:25:02,34.951428,262.030895,831.997869,97.6
23, 09:25:02,34.820234,261.762784,830.40625,97.6
24, 09:25:02,34.736664,261.324574,828.765625,97.6
25, 09:25:02,34.767874,261.177202,829.415483,97.6
26, 09:25:02,34.824692,261.127486,829.327415,97.6
27, 09:25:02,34.851641,261.145833,829.346591,97.6
28, 09:25:02,34.68024,259.768466,822.292614,97.6
29, 09:25:02,34.694326,259.704664,822.330256,97.6
30, 09:25:03,34.696417,259.696259,822.589489,97.65
31, 09:25:03,34.706045,259.601089,821.615057,97.65
32, 09:25:03,34.71512,259.590909,821.786932,97.65
33, 09:25:03,34.736269,259.5625,821.411932,97.65
34, 09:25:03,34.722064,259.5,821.426136,97.65
35, 09:25:03,34.747159,259.58286,821.880682,97.65
36, 09:25:03,34.773635,259.669389,822.337358,97.65
37, 09:25:03,34.794626,259.686435,822.627131,97.65
38, 09:25:03,34.810369,259.798532,822.524148,97.65
39, 09:25:03,34.81392,259.906723,822.559659,97.65
40, 09:25:03,34.786261,259.945431,822.797585,97.65
41, 09:25:03,34.787129,259.962713,822.986506,97.65
42, 09:25:03,34.790878,260.183712,823.875,97.65
43, 09:25:03,34.795573,260.329901,823.885653,97.65
44, 09:25:03,34.795967,260.425781,824.514915,97.65
