frame_index,timestamp,R,G,B,average_SpO2
0, 11:23:45,64.43458,186.285748,907.65767,97.5
1, 11:23:45,64.37575,186.012192,906.879972,97.5
2, 11:23:45,64.367661,185.702888,905.768466,97.5
3, 11:23:45,64.338147,185.190578,905.401989,97.5
4, 11:23:45,64.281842,184.585582,904.067472,97.5
5, 11:23:45,64.378354,184.457505,903.495028,97.5
6, 11:23:45,64.424085,184.490057,904.852273,97.5
7, 11:23:45,64.364662,184.642756,904.629261,97.5
8, 11:23:45,64.386009,184.559541,904.678267,97.5
9, 11:23:45,64.413392,184.583925,905.196733,97.5
10, 11:23:45,64.428149,184.645715,905.328835,97.5
11, 11:23:45,64.497554,184.906013,905.521307,97.5
12, 11:23:45,64.582031,185.33795,906.78054,97.5
13, 11:23:45,64.670218,185.739347,908.757102,97.5
14, 11:23:45,64.726128,186.135772,909.942472,97.5
15, 11:23:45,64.768111,186.503196,910.90554,97.5
16, 11:23:45,64.805556,186.828598,911.434659,97.5
17, 11:23:45,64.868766,187.172585,913.205966,97.5
18, 11:23:45,64.902304,187.523674,913.474432,97.5
19, 11:23:45,64.972814,187.847893,915.075994,97.5
20, 11:23:45,65.010377,188.205848,915.78054,97.5
21, 11:23:45,65.058436,188.600024,916.810369,97.5
22, 11:23:45,65.09884,188.876539,917.324574,97.5
23, 11:23:45,64.912129,188.280895,914.554688,97.5
24, 11:23:45,64.548611,186.646307,908.630682,97.5
25, 11:23:45,64.342093,185.242188,905.862216,97.5
26, 11:23:45,64.353575,184.572562,904.435369,97.5
27, 11:23:45,64.345368,184.321615,903.912642,97.5
28, 11:23:45,64.353456,184.074574,903.887784,97.5
29, 11:23:45,64.340041,183.952415,903.566761,97.5
30, 11:23:46,64.379419,184.019413,903.809659,97.5
31, 11:23:46,64.153567,183.203598,898.829545,97.5
32, 11:23:46,64.193063,183.296993,899.074574,97.5
33, 11:23:46,64.177754,183.382694,899.202415,97.5
34, 11:23:46,64.196181,183.405777,899.784091,97.5
35, 11:23:46,64.250868,183.497869,900.044034,97.5
36, 11:23:46,64.294744,183.745502,900.299716,97.5
37, 11:23:46,64.392953,184.182173,901.354403,97.5
38, 11:23:46,64.454822,184.540128,902.681108,97.5
39, 11:23:46,64.502091,184.939986,904.378551,97.5
40, 11:23:46,64.572285,185.435133,905.383523,97.5
41, 11:23:46,64.628709,185.754025,906.02983,97.5
